mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,centroid,rolloff,zcr,rms,echo,label
-309.4460144042969,67.04163360595703,-19.72141456604004,32.774810791015625,-3.2412216663360596,-1.9934747219085693,-24.461162567138672,-8.488993644714355,5.428806781768799,-5.741699695587158,-4.947638988494873,-4.179466724395752,-11.45353889465332,2500.677312468548,4258.970568426724,0.17495622306034483,0.06896767020225525,0.8407842516899109,human
-322.6139221191406,94.34490966796875,48.31338119506836,24.799339294433594,-4.235001087188721,7.057845592498779,-32.78522872924805,-7.407223701477051,-14.939208030700684,-20.703277587890625,-8.455388069152832,-9.851353645324707,-10.596475601196289,2074.257908682428,3500.8332453547296,0.13940825591216216,0.131860613822937,0.9844920039176941,human
-309.34820556640625,90.3456802368164,-0.08928404003381729,26.29644012451172,14.991991996765137,6.793630599975586,-31.987682342529297,3.858793258666992,-3.948366165161133,-22.333961486816406,-2.768019199371338,-9.616153717041016,-11.253938674926758,1774.734314599154,3434.723369891827,0.09075592376373626,0.10262133181095123,0.9846519231796265,human
-301.8105163574219,91.65927124023438,5.108367919921875,38.38812255859375,-1.1815191507339478,4.4076924324035645,-39.31012725830078,-10.29177188873291,-9.031258583068848,-24.616409301757812,-11.160638809204102,-4.015732288360596,-8.40906810760498,1883.698318529838,3608.177843432741,0.11387611040609137,0.10281596332788467,0.9791226387023926,human
-334.16021728515625,102.33326721191406,18.01251220703125,-0.7637238502502441,-14.007843971252441,14.608720779418945,-33.17025375366211,-12.21787166595459,-13.010546684265137,-13.428024291992188,-21.842018127441406,-13.711337089538574,-5.589158058166504,1768.1116293929713,3305.6171973146984,0.10559634108040201,0.07801207154989243,0.9777306318283081,human
-222.18679809570312,121.67636108398438,-31.32073974609375,13.84965991973877,1.175719141960144,-12.190911293029785,-2.7877864837646484,-22.843297958374023,-11.400474548339844,-5.385806083679199,-16.795915603637695,-4.116231918334961,-3.259582042694092,1748.7225457026689,3380.3231493919684,0.07916563560520362,0.10465464740991592,0.9661186337471008,human
-296.76824951171875,115.5947036743164,2.485861301422119,20.53929328918457,5.893896102905273,-3.984421730041504,-7.296258449554443,-12.312911033630371,-14.326390266418457,-0.1331392228603363,-9.802566528320312,-0.8500482439994812,-4.50748872756958,1495.8649490862733,2998.054750504032,0.0643026153673835,0.09419593960046768,0.9868346452713013,human
-273.12896728515625,108.14350891113281,13.197460174560547,21.648887634277344,9.000673294067383,4.963850975036621,-11.735382080078125,-6.879073619842529,-2.064897298812866,-6.634645462036133,-1.5717447996139526,-0.9659160375595093,-7.507170677185059,2090.7215625902136,4346.265248783299,0.0877532125170765,0.07549141347408295,0.9886934161186218,human
-249.50636291503906,101.85429382324219,-9.88661003112793,26.695268630981445,-6.07006311416626,-12.885780334472656,-3.7808682918548584,-9.174237251281738,0.8124948740005493,-0.9622322916984558,-3.7034289836883545,-1.0321357250213623,-9.201666831970215,2122.8886667238685,4081.4225320922396,0.09586830564591078,0.08491533249616623,0.9505744576454163,human
-246.66909790039062,142.13002014160156,-26.274629592895508,13.258688926696777,-7.9040069580078125,-6.5365519523620605,-11.729997634887695,-20.99343490600586,-4.644018173217773,-3.3051178455352783,-13.75970458984375,-2.7472381591796875,-8.989676475524902,1448.1636139868288,2676.6272256540697,0.07077617793120156,0.0788167417049408,0.9613313674926758,human
-214.9549102783203,126.29373168945312,-16.88144874572754,26.760568618774414,-5.7493462562561035,0.038510989397764206,-5.276370525360107,-8.912631034851074,-0.5996232032775879,-12.591774940490723,-15.079094886779785,-6.181224346160889,-12.672346115112305,1771.6814898311027,3519.3881936269263,0.08377535049229452,0.07284513115882874,0.957636296749115,human
-217.32972717285156,118.76802062988281,-23.431211471557617,14.647015571594238,-4.263465881347656,0.16853316128253937,-9.265134811401367,-12.513361930847168,2.511831045150757,-5.736018657684326,-13.433993339538574,-5.552663803100586,-12.223773002624512,1763.5978283633901,3408.8486089939024,0.0801189568815331,0.09629923105239868,0.9631439447402954,human
